Дата присвоения кода,Дата регистрации,Форма выпуска ценной бумаги,Pегистрационный номер,ISIN код,Валюта номинала,Номинальная стоимость каждой ценной бумаги,ИНН эмитента,Порядок хранения/учета,Эмитент,Наименование выпуска/транша
4 февраля 2020 г.,10 декабря 2019 г.,Бездокументарная,4-30-22BR1-9,RU000A101DH1,Рубли,1 000.00,7702235133,С централизованным учетом,Центральный банк Российской Федерации,Документарные облигации на предъявителя с обязательным централизованным хранением
30 января 2020 г.,,Бездокументарная,,RU000A101D54,Рубли,1 000.00,7714435063,С централизованным учетом,"Общество с ограниченной ответственностью ""ГТЛК-1520""",Неконвертируемые процентные документарные биржевые облигации на предъявителя с обязательным централизованным хранением серии П01-БО-02
30 января 2020 г.,,Бездокументарная,,RU000A101D62,Рубли,1 000.00,7707083893,С централизованным учетом,"Публичное акционерное общество ""Сбербанк России""",Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии ИОС_PRT_REIT-5Y-001Р-208R
31 января 2020 г.,,Бездокументарная,,RU000A101D70,Рубли,1 000.00,7702070139,С централизованным учетом,Банк ВТБ (публичное акционерное общество),Облигации биржевые дисконтные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии КС-3-354
31 января 2020 г.,,Бездокументарная,,RU000A101D96,Рубли,1 000.00,7704490900,С централизованным учетом,"Общество с ограниченной ответственностью ""Специализированное финансовое общество РуСол 1""","Структурные документарные процентные неконвертируемые облигации класса ""В"" с залоговым обеспечением денежными требованиями на предъявителя с обязательным централизованным хранением"
31 января 2020 г.,,Бездокументарная,,RU000A101DA6,Рубли,1 000.00,7704490900,С централизованным учетом,"Общество с ограниченной ответственностью ""Специализированное финансовое общество РуСол 1""","Структурные документарные процентные неконвертируемые облигации класса ""А"" с залоговым обеспечением денежными требованиями на предъявителя с обязательным централизованным хранением"
31 января 2020 г.,,Бездокументарная,,RU000A101DB4,Рубли,1 000.00,7704490900,С централизованным учетом,"Общество с ограниченной ответственностью ""Специализированное финансовое общество РуСол 1""","Структурные документарные процентные неконвертируемые облигации класса ""Б"" с залоговым обеспечением денежными требованиями на предъявителя с обязательным централизованным хранением"
3 февраля 2020 г.,26 декабря 2019 г.,Бездокументарная,4B0235501000B004P,RU000A101DC2,Рубли,1 000.00,7702070139,С централизованным учетом,Банк ВТБ (публичное акционерное общество),Облигации биржевые дисконтные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии КС-3-355
3 февраля 2020 г.,31 декабря 2019 г.,Бездокументарная,4B021703349B001P,RU000A101DD0,Рубли,1 000.00,7725114488,С централизованным учетом,"Акционерное общество ""Российский Сельскохозяйственный банк""",Неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-02R-P с обязательным централизованным хранением
3 февраля 2020 г.,7 июня 2013 г.,Бездокументарная,4B02-03-00073-A,RU000A101DE8,Рубли,1 000.00,7803002209,С централизованным учетом,"Публичное акционерное общество энергетики и электрификации ""Ленэнерго""",Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-03
